,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
97,Hatchback,23000,Automatic,2,Maruti,2017,725000.0,Comprehensive,Petrol,5 Seats,KA,9,19.56,1197,81.8,113.0,gray,4,4,No,3995.0,1745.0,1510.0,2520.0,0,Electronic,Disc,Drum,Tubeless,5,Bangalore
99,SUV,10000,Automatic,1,Renault,2022,835000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.03,999,71.01,96.0,others,3,4,No,3991.0,1750.0,1605.0,2500.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
100,Hatchback,19000,Manual,1,Hyundai,2019,695000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,blue,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
102,Hatchback,29268,Manual,1,Hyundai,2014,330000.0,Comprehensive,Petrol,5 Seats,KA,9,21.1,814,55.2,74.5,white,3,3,No,3495.0,1550.0,1500.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
103,Sedan,20000,Automatic,1,Volkswagen,2019,990000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.19,1197,103.2,175.0,others,4,4,Yes,4390.0,1699.0,1467.0,2553.0,7,Power,Disc,Drum,Tubeless,4,Bangalore
105,Hatchback,64374,Automatic,1,Honda,2018,755000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.0,1199,88.7,110.0,gray,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
108,Hatchback,43679,Manual,1,Hyundai,2010,271000.0,Comprehensive,Petrol,5 Seats,KA,9,19.81,1086,68.05,99.04,silver,4,3,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
109,SUV,40000,Automatic,1,Hyundai,2018,1280000.0,Third Party insurance,Petrol,5 Seats,KA,9,14.8,1591,121.3,151.0,others,4,4,No,4270.0,1780.0,1665.0,2590.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
110,Hatchback,40562,Manual,1,Hyundai,2012,436000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.54,1396,88.76,219.6,red,4,4,No,3995.0,1710.0,1505.0,2525.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
112,SUV,20000,Automatic,1,Hyundai,2019,1250000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.15,998,118.35,171.6,others,3,4,Yes,3995.0,1770.0,1605.0,2500.0,7,Power,Disc,Drum,Radial,5,Bangalore
114,SUV,20000,Automatic,1,Hyundai,2019,1250000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.15,998,118.35,171.6,others,3,4,Yes,3995.0,1770.0,1605.0,2500.0,7,Power,Disc,Drum,Radial,5,Bangalore
121,Hatchback,80000,Manual,3,Hyundai,2009,249000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,20.36,1197,78.9,111.8,others,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
124,Hatchback,80000,Manual,3,Hyundai,2009,249000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,20.36,1197,78.9,111.8,others,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
125,Hatchback,52204,Manual,1,Maruti,2017,385000.0,Third Party insurance,Petrol,5 Seats,KA,9,24.39,998,65.71,89.0,silver,3,4,No,3530.0,1490.0,1520.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
128,Hatchback,29813,Manual,2,Maruti,2014,276000.0,Comprehensive,Petrol,5 Seats,KA,9,22.05,796,47.33,69.0,others,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
129,Hatchback,30000,Manual,1,Ford,2018,500000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.16,1196,86.8,112.0,gray,4,4,No,3886.0,1695.0,1525.0,2491.0,5,EPAS,Disc,Drum,Tubeless,5,Bangalore
130,Hatchback,13345,Automatic,1,Maruti,2020,730000.0,Comprehensive,Petrol,5 Seats,KA,9,20.89,1197,81.8,113.0,white,4,4,No,3700.0,1690.0,1595.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
132,Hatchback,75000,Manual,1,Hyundai,2014,399000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,82.0,114.0,gray,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
133,Hatchback,75523,Manual,2,Hyundai,2011,312000.0,Comprehensive,Petrol,5 Seats,KA,9,20.36,1197,78.9,111.8,red,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
136,MUV,28253,Manual,1,Renault,2020,719000.0,Comprehensive,Petrol,7 Seats,KA,9,20.0,999,71.01,96.0,silver,3,4,No,3991.0,1739.0,1643.0,2425.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
138,Hatchback,90000,Manual,2,Hyundai,2010,300000.0,Third Party insurance,Petrol,5 Seats,KA,8,20.36,1197,78.9,111.7,others,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
140,Hatchback,52571,Manual,1,Hyundai,2016,627000.0,Comprehensive,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,gray,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
145,Hatchback,36359,Manual,1,Hyundai,2013,440000.0,Comprehensive,Petrol,5 Seats,KA,9,18.5,1197,82.85,113.7,blue,4,4,No,3995.0,1710.0,1505.0,2525.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
149,Hatchback,66000,Manual,1,Hyundai,2010,275000.0,Comprehensive,Petrol,5 Seats,KA,9,20.36,1197,78.9,111.8,gold,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
150,Hatchback,56010,Manual,1,Hyundai,2017,676000.0,Comprehensive,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,white,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
153,Hatchback,83829,Manual,1,Maruti,2014,444000.0,Third Party insurance,Diesel,5 Seats,KA,9,25.2,1248,74.0,190.0,red,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
154,Hatchback,10000,Automatic,1,Renault,2020,509999.0,Third Party insurance,Petrol,5 Seats,KA,9,22.0,999,67.0,91.0,others,3,4,No,3731.0,1579.0,1474.0,2422.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
158,Hatchback,40000,Automatic,2,Volkswagen,2017,994999.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,17.21,1197,103.5,175.0,others,4,4,Yes,3971.0,1682.0,1469.0,2469.0,7,Power,Disc,Drum,Tubeless,5,Bangalore
160,SUV,36916,Manual,1,Ford,2018,834000.0,Comprehensive,Petrol,5 Seats,KA,9,17.0,1497,121.36,150.0,others,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
161,Hatchback,90000,Manual,1,Volkswagen,2015,560000.0,Third Party insurance,Diesel,5 Seats,KA,9,20.14,1498,88.8,230.0,others,4,4,Yes,3971.0,1682.0,1469.0,2469.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
162,Hatchback,112795,Manual,1,Maruti,2012,454000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
