,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
0,2.0,120000,1,3,160,2015,3979,1806,400000.0,5.0,4,1,8,10,13,23.1,90.0,138,293.0,998.0,3.0,4.0,3.0,53.0,30.0,11.0,1.0,1.0,3715.0,1635.0,1565.0,2425,1420.0,1410.0,835.0,1250.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.05,23.0,5.0,235.0,15.66402379,0,3567.04,6165.0
1,7.0,32706,1,2,50,2018,6087,288,811000.0,2.0,4,1,9,10,13,17.0,150.0,138,396.0,1497.0,3.0,4.0,3.0,23.0,102.0,11.0,1.0,1.0,3998.0,1765.0,1647.0,2519,1478.635627,1479.284494,1211.483843,1670.523356,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,12.79590584,26.0,4.0,352.0,16.0,0,4621.31,6635.0
2,2.0,11949,1,1,273,2018,2983,129,585000.0,2.0,4,1,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,14.0,0,3601.893989,6133.0
3,8.0,17794,1,1,87,2014,1867,101,462000.0,2.0,4,1,9,10,13,19.1,113.75,86,320.0,1197.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,1.0,1.0,3995.0,1660.0,1520.0,2425,1479.0,1493.0,1180.0,1670.523356,5,13.0,5.0,6.0,5.01860252,6.0,7.0,174.018972,14.2,26.0,4.0,407.0,14.0,0,4081.86,6167.0
4,7.0,60000,1,1,178,2015,4277,987,790000.0,5.0,1,1,9,10,13,23.65,200.0,55,218.0,1248.0,4.0,4.0,3.0,35.26919603,16.0,12.45229249,5.0,1.0,4300.0,1785.0,1595.0,2600,1478.635627,1479.284494,1211.483843,1670.0,5,12.0,5.0,6.0,5.2,22.0,21.0,174.018972,12.0,26.0,5.0,353.0,16.0,0,1838.5,4134.0
5,7.0,20000,1,1,101,2020,5931,485,1900000.0,5.0,1,1,9,10,13,17.1,350.0,86,124.0,1956.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4395.0,1818.0,1640.0,2636,1478.635627,1479.284494,1211.483843,1670.523356,6,5.0,5.0,8.0,5.01860252,5.0,6.0,174.018972,12.79590584,6.0,5.0,408.0,17.0,0,2601.893989,3884.0
6,2.0,37772,1,1,37,2017,5223,1684,345000.0,2.0,4,1,9,10,13,20.63,104.0,57,344.0,1198.0,3.0,4.0,3.0,40.0,51.37463617,12.45229249,1.0,1.0,3785.0,1635.0,1490.0,2450,1440.0,1445.0,1070.0,1670.523356,5,12.0,5.0,6.0,5.01860252,0.0,7.0,174.018972,13.3,13.0,5.0,265.0,15.66402379,0,4101.893989,5135.0
8,8.0,37000,0,1,163,2018,6555,834,960000.0,2.0,4,0,9,10,13,20.28,138.0,66,479.0,1462.0,4.0,4.0,3.0,49.0,48.0,12.45229249,1.0,1.0,4490.0,1730.0,1485.0,2650,1478.635627,1479.284494,1105.0,1670.523356,4,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,12.79590584,23.0,4.0,510.0,16.0,0,4503.25,6133.0
9,2.0,11949,1,1,273,2017,2985,133,585000.0,2.0,4,1,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,15.66402379,0,3601.893989,6133.0
10,2.0,50000,1,1,157,2018,3962,85,690000.0,5.0,4,1,9,10,13,21.4,115.0,110,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1515.0,1525.0,870.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,15.66402379,0,4083.1,6242.030234
11,2.0,24887,0,1,77,2019,5606,107,682000.0,5.0,4,0,9,10,13,18.9,178.9265066,84,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3765.0,1660.0,1520.0,2425,1479.0,1493.0,1200.0,1670.523356,4,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.9,13.0,5.0,256.0,14.0,0,4081.86,6165.0
12,2.0,23000,0,1,66,2018,6506,1794,825000.0,2.0,4,0,9,10,13,18.2,110.0,57,476.0,1199.0,4.0,4.0,8.0,64.0,51.37463617,12.45229249,1.0,1.0,3955.0,1694.0,1544.0,2530,1478.635627,1479.284494,1211.483843,1670.523356,5,12.0,5.0,6.0,5.1,5.0,7.0,174.018972,13.7,26.0,5.0,354.0,15.0,0,4888.7,6133.0
13,2.0,48928,0,1,273,2018,5653,134,595000.0,2.0,4,0,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,12.79590584,13.0,5.0,242.0,14.0,0,3583.83,6133.0
14,7.0,108862,1,3,147,2014,3822,1876,690000.0,2.0,1,1,9,10,13,15.1,330.0,116,498.0,2179.0,4.0,4.0,3.0,24.0,51.37463617,12.45229249,5.0,1.0,4585.0,1890.0,1785.0,2700,1478.635627,1479.284494,1900.0,2450.0,6,12.0,7.0,6.0,5.01860252,7.0,4.0,175.0,12.5,27.0,5.0,402.7427254,15.66402379,0,2901.893989,3881.0
15,7.0,80000,1,1,101,2018,5929,473,1350000.0,5.0,1,1,9,10,13,17.1,350.0,86,124.0,1956.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4395.0,1818.0,1640.0,2636,1478.635627,1479.284494,1211.483843,1670.523356,6,5.0,5.0,6.0,5.01860252,5.0,6.0,174.018972,12.79590584,6.0,5.0,408.0,17.0,0,2601.893989,3949.0
17,2.0,65376,1,2,90,2014,1657,852,521000.0,2.0,1,1,9,10,13,21.27,219.6,9,418.0,1396.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,1.0,1.0,3995.0,1710.0,1505.0,2525,1505.0,1503.0,1120.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,12.79590584,26.0,5.0,402.7427254,14.0,0,2838.76,4160.0
19,8.0,67000,1,2,63,2016,1215,2099,775000.0,2.0,4,1,9,10,13,17.8,145.0,14,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1049.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,0,4717.3,6767.0
22,7.0,30000,1,1,236,2020,7703,1453,1090000.0,5.0,4,1,9,10,13,16.42,142.0,86,94.0,1498.0,4.0,4.0,3.0,58.0,51.37463617,12.45229249,1.0,1.0,4360.0,1822.0,1695.0,2673,1560.0,1567.0,1315.0,1670.523356,5-,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,16.0,5.0,475.0,15.66402379,0,3623.538208,5731.0
23,2.0,57634,1,2,273,2016,2983,129,457000.0,2.0,4,1,9,10,13,23.84,114.0,116,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,14.0,0,3601.893989,6135.0
24,8.0,50000,0,2,211,2016,4716,1491,4900000.0,5.0,4,0,9,10,13,7.81,700.0,86,435.0,4663.0,8.0,4.0,3.0,23.0,51.37463617,10.5,5.0,1.0,5246.0,2130.0,1494.0,3165,1624.0,1637.0,2200.0,2730.0,7,16.0,5.0,6.0,5.01860252,5.0,2.0,250.0,4.8,26.0,4.0,530.0,19.0,0,3953.26,5742.030234
25,8.0,110000,1,1,63,2015,1279,2099,550000.0,5.0,4,1,9,10,13,17.4,145.0,86,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1049.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,0,4717.3,6708.0
26,2.0,23447,0,1,81,2018,6670,1646,570000.0,2.0,4,0,9,10,13,20.3,99.0,140,30.0,1086.0,4.0,3.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3610.0,1645.0,1560.0,2400,1463.0,1481.0,1050.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,5.0,235.0,15.66402379,0,3620.882197,5634.0
27,2.0,30000,1,2,82,2009,1712,1144,220000.0,5.0,3,1,9,10,13,13.45,96.1,86,192.0,1086.0,3.0,4.0,8.0,52.0,51.37463617,12.45229249,1.0,1.0,3565.0,1525.0,1590.0,2380,1315.0,1300.0,845.0,1670.523356,5,12.0,5.0,6.0,4.4,22.0,7.0,174.018972,12.79590584,26.0,5.0,402.7427254,13.0,0,3062.1,5742.030234
28,8.0,33000,0,1,200,2017,7578,1106,4145000.0,2.0,4,0,9,10,13,15.0,300.0,138,280.0,1991.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,5.0,1.0,5063.0,1860.0,1494.0,3079,1595.0,1597.0,1585.0,1670.523356,9,16.0,5.0,1.0,5.01860252,22.0,2.0,174.018972,8.0,26.0,4.0,540.0,17.0,0,4194.4,5418.155665
29,7.0,87667,1,2,147,2014,3822,1876,861000.0,4.0,1,1,9,10,13,15.1,330.0,8,498.0,2179.0,4.0,4.0,3.0,24.0,51.37463617,12.45229249,5.0,1.0,4585.0,1890.0,1785.0,2700,1478.635627,1479.284494,1900.0,2450.0,6,12.0,7.0,6.0,5.01860252,7.0,4.0,175.0,12.5,27.0,5.0,402.7427254,15.66402379,0,2901.893989,3884.0
30,8.0,40000,0,2,3,2016,12,689,1785000.0,5.0,1,0,9,10,13,17.11,380.0,86,381.0,1968.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4701.0,2040.0,1427.0,2808,1564.0,1551.0,1595.0,2055.0,8,12.0,5.0,6.0,5.01860252,22.0,2.0,174.018972,7.9,26.0,4.0,480.0,16.0,0,2674.33,4365.0
31,7.0,79012,1,2,147,2014,3823,1887,803000.0,2.0,1,1,9,10,13,15.1,330.0,116,498.0,2179.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,5.0,1.0,4585.0,1890.0,1785.0,2700,1478.635627,1479.284494,1940.0,2450.0,6,12.0,7.0,6.0,5.01860252,7.0,4.0,175.0,12.5,27.0,5.0,402.7427254,17.0,0,2901.893989,3915.0
33,8.0,50000,1,1,87,2018,5785,166,674000.0,5.0,4,1,9,10,13,20.14,178.9265066,86,52.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1660.0,1520.0,2425,1479.0,1493.0,1140.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,13.0,4.0,407.0,14.0,0,4081.86,6242.030234
34,2.0,12434,1,1,184,2015,4310,1823,349000.0,2.0,4,1,9,10,13,20.51,90.0,14,295.0,998.0,3.0,4.0,3.0,35.26919603,12.0,12.45229249,1.0,1.0,3599.0,1495.0,1700.0,2400,1295.0,1290.0,885.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,152.0,18.6,19.0,5.0,180.0,15.66402379,0,3567.04,6628.0
35,4.0,60000,1,2,165,2019,6701,2068,1050000.0,5.0,4,1,9,10,13,19.34,138.0,86,300.0,1462.0,4.0,4.0,3.0,49.0,44.0,10.5,1.0,1.0,4395.0,1735.0,1690.0,2740,1510.0,1520.0,1211.483843,1670.523356,5,1.0,7.0,6.0,5.01860252,22.0,7.0,174.018972,12.79590584,23.0,5.0,209.0,15.66402379,0,4501.893989,6167.0
36,8.0,12000,0,1,197,2019,6598,1430,4425000.0,2.0,1,0,9,10,13,12.6,400.0,138,278.0,1950.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4686.0,2020.0,1442.0,2840,1588.0,1588.0,1655.0,1670.523356,9,16.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,6.9,23.0,4.0,480.0,17.0,0,2901.893989,3965.0
37,2.0,40987,1,2,184,2015,4310,1823,406000.0,2.0,4,1,9,10,13,20.51,90.0,138,295.0,998.0,3.0,4.0,3.0,35.26919603,12.0,12.45229249,1.0,1.0,3599.0,1495.0,1700.0,2400,1295.0,1290.0,885.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,152.0,18.6,19.0,5.0,180.0,15.66402379,0,3567.04,6367.0
39,7.0,120000,1,3,285,2011,2263,640,1100000.0,5.0,1,1,9,10,13,11.5,343.0,86,178.0,2982.0,4.0,4.0,3.0,15.0,51.37463617,12.45229249,5.0,1.0,4695.0,1840.0,1850.0,2750,1540.0,1540.0,1955.0,2510.0,5,4.0,7.0,6.0,5.01860252,22.0,16.0,174.018972,9.6,26.0,5.0,402.7427254,17.0,0,3620.882197,5446.155665
40,7.0,40000,0,2,236,2020,7022,1467,1100000.0,5.0,1,0,9,10,13,19.87,245.0,86,302.8278425,1461.0,4.0,4.0,3.0,11.0,51.37463617,12.45229249,1.0,1.0,4360.0,1822.0,1695.0,2673,1560.0,1567.0,1375.0,1670.523356,6-,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,0.0,5.0,475.0,16.0,0,1858.5,4165.0
41,2.0,89667,1,1,90,2016,1481,1643,594000.0,2.0,4,1,9,10,13,18.6,114.7,138,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3985.0,1734.0,1505.0,2570,1505.0,1503.0,1066.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,13.2,13.0,5.0,295.0,15.66402379,0,4081.83,6146.0
42,2.0,120000,1,1,90,2017,1610,863,710000.0,5.0,1,1,9,10,13,22.54,219.7,86,418.0,1396.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,3985.0,1734.0,1505.0,2570,1505.0,1503.0,1515.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,11.9,13.0,5.0,295.0,16.0,0,2838.73,4135.0
43,2.0,56997,1,1,157,2017,3969,175,692000.0,6.0,4,1,9,10,13,21.4,115.0,9,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1505.0,1515.0,880.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,16.0,0,4083.1,6133.0
44,8.0,120000,1,1,75,2013,1471,1548,650000.0,5.0,4,1,9,10,13,16.3,177.5,86,242.0,1797.0,4.0,4.0,3.0,61.0,120.0,10.3,1.0,1.0,4530.0,1775.0,1470.0,2700,1569.0,1582.0,1329.0,1640.0,6,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,12.07,26.0,4.0,420.0,16.0,0,4847.5,6660.0
45,8.0,59000,0,1,4,2015,36,688,2090000.0,5.0,1,0,9,10,13,18.53,400.0,138,267.0,1968.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,4933.0,1874.0,1455.0,2912,1627.0,1618.0,1735.0,2240.0,7,12.0,5.0,6.0,5.01860252,22.0,25.0,174.018972,8.4,26.0,4.0,530.0,18.0,0,3187.74,4308.0
49,2.0,60932,1,1,273,2019,6969,1963,610000.0,2.0,4,1,9,10,13,23.84,114.0,110,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,12.79590584,13.0,5.0,242.0,15.0,0,3583.83,6133.0
51,2.0,66837,1,2,273,2018,2985,133,530000.0,2.0,4,1,9,10,13,23.84,114.0,14,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,15.66402379,0,3601.893989,6135.0
53,2.0,60000,1,2,154,2008,3903,1290,250000.0,5.0,4,1,9,10,13,19.7,62.0,86,278.0,796.0,3.0,4.0,8.0,49.0,10.0,12.45229249,1.0,1.0,3495.0,1475.0,1460.0,2360,1295.0,1290.0,705.0,1140.0,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,5.0,402.7427254,12.0,0,3046.3,6442.030234
54,2.0,44285,1,1,90,2019,6808,1353,715000.0,5.0,4,1,9,10,13,18.6,178.9265066,57,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3985.0,1734.0,1505.0,2570,1478.635627,1479.284494,1120.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,13.2,26.0,5.0,285.0,15.66402379,0,4081.86,6138.0
55,7.0,100000,0,2,203,2014,4634,703,3500000.0,5.0,1,0,9,10,13,11.3,619.0,86,431.0,2987.0,6.0,4.0,3.0,4.0,136.0,17.7,5.0,1.0,5120.0,2141.0,1850.0,3075,1655.0,1675.0,2535.0,1670.523356,7,9.0,7.0,6.0,5.01860252,5.0,2.0,174.018972,7.9,26.0,5.0,680.0,19.0,0,2654.8,3811.0
57,2.0,36735,1,1,77,2018,5607,92,625000.0,2.0,4,1,9,10,13,18.9,178.9265066,9,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3765.0,1660.0,1520.0,2425,1479.0,1493.0,1060.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.9,13.0,5.0,256.0,14.0,0,4081.86,6133.0
58,7.0,79000,0,1,10,2015,122,693,2695000.0,2.0,1,0,9,10,13,12.07,550.0,138,431.0,2967.0,6.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,5089.0,2177.0,1737.0,3002,1651.0,1681.0,2345.0,2995.0,8  Tiptronic,9.0,7.0,6.0,5.01860252,22.0,25.0,174.018972,7.8,26.0,5.0,330.0,18.0,0,2991.4,4565.0
60,2.0,10000,0,1,238,2022,7433,24,550000.0,5.0,4,0,9,10,13,22.0,91.0,86,344.0,999.0,3.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,3731.0,1579.0,1474.0,2422,1478.635627,1479.284494,750.0,1670.523356,5,12.0,5.0,1.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,5.0,279.0,15.66402379,0,4351.893989,5664.0
61,7.0,53645,1,1,265,2018,5996,297,825000.0,2.0,1,1,9,10,13,21.5,260.0,138,352.0,1497.0,4.0,4.0,3.0,2.0,78.0,12.45229249,5.0,1.0,3994.0,1811.0,1607.0,2498,1540.0,1530.0,1211.483843,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,154.19,13.25,16.0,5.0,350.0,15.66402379,0,2858.5,3885.0
62,2.0,100000,1,2,76,2006,1511,1140,220000.0,5.0,4,1,9,10,13,15.3,115.0,86,278.0,1341.0,4.0,3.0,3.0,63.0,25.0,12.45229249,1.0,1.0,3810.0,1665.0,1515.0,2455,1450.0,1440.0,1095.0,1500.0,5,11.52548098,5.0,6.0,5.01860252,22.0,7.0,166.0,12.79590584,26.0,5.0,402.7427254,13.0,0,3620.882197,5416.155665
64,8.0,110000,1,1,249,2014,3152,324,695000.0,5.0,1,1,9,10,13,21.14,250.0,8,236.0,1498.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,5.0,1.0,4386.0,1699.0,1466.0,2552,1478.635627,1479.284494,1206.0,1760.0,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,11.0,26.0,4.0,460.0,15.0,0,2603.52,4533.0
65,7.0,37741,1,2,50,2019,7350,286,930000.0,5.0,4,1,9,10,13,15.9,149.0,138,396.0,1496.0,3.0,4.0,3.0,23.0,102.0,11.0,1.0,1.0,3998.0,1765.0,1647.0,2519,1478.635627,1479.284494,1211.483843,1670.523356,5,12.0,5.0,1.0,5.01860252,22.0,7.0,174.018972,12.79590584,26.0,4.0,352.0,15.66402379,0,4620.69,6631.0
67,7.0,94000,1,1,73,2017,1443,376,1195000.0,2.0,1,1,9,10,13,19.67,259.9,57,421.0,1582.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4270.0,1780.0,1630.0,2590,1478.635627,1479.284494,1320.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.5,13.0,5.0,400.0,16.0,0,2876.2,4135.0
71,2.0,64000,1,2,160,2017,3983,2055,500000.0,4.0,4,1,9,10,13,23.1,90.0,110,293.0,998.0,3.0,4.0,3.0,53.0,30.0,11.0,1.0,1.0,3715.0,1635.0,1565.0,2425,1420.0,1410.0,850.0,1250.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.05,23.0,5.0,235.0,14.0,0,3567.04,6134.0
72,8.0,40525,0,1,15,2016,6631,1299,3395000.0,2.0,1,0,9,10,13,21.76,400.0,138,409.0,1995.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4824.0,1828.0,1508.0,2920,1541.0,1581.0,1720.0,1670.523356,8,16.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,7.7,8.0,4.0,520.0,18.0,0,2601.893989,4171.0
73,8.0,100000,1,1,163,2015,4002,1770,650000.0,5.0,1,1,9,10,13,26.21,200.0,138,213.0,1248.0,4.0,4.0,3.0,4.0,15.0,10.1,5.0,1.0,4490.0,1730.0,1485.0,2650,1495.0,1505.0,1105.0,1585.0,5,12.0,5.0,6.0,5.01860252,24.0,7.0,160.0,15.0,23.0,4.0,510.0,15.66402379,0,1838.5,4242.030234
74,2.0,44154,0,2,66,2016,1340,160,537000.0,2.0,4,0,9,10,13,19.0,110.0,138,476.0,1199.0,4.0,4.0,8.0,64.0,51.37463617,12.45229249,1.0,1.0,3955.0,1694.0,1544.0,2530,1478.635627,1479.284494,1066.0,1670.523356,5,12.0,5.0,6.0,5.1,5.0,7.0,174.018972,13.7,26.0,5.0,354.0,15.0,0,4888.7,6133.0
75,4.0,70000,1,1,240,2016,5099,462,750000.0,5.0,1,1,9,10,13,19.98,245.0,138,461.0,1461.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4498.0,1751.0,1697.0,2810,1490.0,1478.0,1360.0,1670.523356,6,12.0,7.0,6.0,5.01860252,22.0,7.0,174.018972,13.0,13.0,5.0,207.0,15.0,0,1858.5,4242.030234
76,8.0,79000,0,1,248,2018,6121,437,1790000.0,2.0,4,0,9,10,13,15.1,250.0,138,106.0,1798.0,4.0,4.0,3.0,23.0,130.0,9.6,5.0,1.0,4670.0,1814.0,1476.0,2688,1539.0,1534.0,1376.0,1860.0,7,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,8.26,26.0,4.0,590.0,16.0,0,5101.893989,6347.0
77,2.0,68039,1,2,273,2017,2969,127,468000.0,5.0,4,1,9,10,13,23.84,114.0,84,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,980.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,15.66402379,0,3601.893989,6167.0
78,2.0,60000,1,2,175,2014,4141,1847,420000.0,5.0,4,1,8,10,13,18.5,114.0,116,289.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3775.0,1680.0,1620.0,2360,1470.0,1480.0,1015.0,1430.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,15.0,26.0,5.0,236.0,15.66402379,0,4085.8,6133.0
81,8.0,49873,1,1,63,2013,1264,1754,533000.0,4.0,4,1,9,10,13,16.8,146.0,140,365.0,1497.0,4.0,4.0,8.0,33.0,51.37463617,12.45229249,1.0,1.0,4440.0,1695.0,1485.0,2550,1478.635627,1479.284494,1095.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,4.0,506.0,15.0,0,4916.3,6735.0
83,8.0,48960,1,2,249,2017,3141,322,751000.0,5.0,1,1,9,10,13,21.13,250.0,116,236.0,1498.0,4.0,4.0,3.0,23.0,51.37463617,12.45229249,5.0,1.0,4413.0,1699.0,1466.0,2552,1478.635627,1479.284494,1192.0,1670.523356,5,12.0,5.0,6.0,5.3,5.0,7.0,185.0,12.79590584,26.0,4.0,460.0,15.0,0,2608.6,4166.0
84,2.0,70000,1,2,77,2014,1551,928,388000.0,5.0,1,1,8,10,13,24.0,160.0,86,422.0,1120.0,3.0,4.0,3.0,6.0,51.37463617,12.45229249,1.0,1.0,3765.0,1660.0,1520.0,2425,1479.0,1493.0,1025.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,15.6,13.0,5.0,256.0,15.66402379,0,2851.893989,4134.0
85,2.0,68000,1,2,90,2013,1654,1643,490000.0,2.0,4,1,9,10,13,18.5,113.7,116,320.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1710.0,1505.0,2525,1505.0,1503.0,1040.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,5.0,402.7427254,14.0,0,4082.85,6165.0
86,7.0,23017,1,1,133,2016,3558,2121,494000.0,4.0,1,1,9,10,13,25.32,190.0,84,485.0,1198.0,3.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,3675.0,1715.0,1655.0,2385,1490.0,1490.0,1135.0,1670.523356,5,12.0,6.0,6.0,5.01860252,5.0,7.0,160.0,12.79590584,26.0,5.0,243.0,15.66402379,0,2351.893989,3884.0
87,2.0,83000,1,2,90,2013,1657,852,525000.0,2.0,1,1,9,10,13,21.27,219.6,14,418.0,1396.0,4.0,4.0,3.0,4.0,51.37463617,12.45229249,1.0,1.0,3995.0,1710.0,1505.0,2525,1505.0,1503.0,1120.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,2.0,174.018972,12.79590584,26.0,5.0,402.7427254,14.0,0,2838.76,4133.0
89,2.0,62139,1,1,184,2018,5589,1846,550000.0,2.0,4,1,9,10,13,20.51,90.0,110,295.0,998.0,3.0,4.0,3.0,35.26919603,12.0,12.45229249,1.0,1.0,3636.0,1475.0,1670.0,2400,1295.0,1290.0,890.0,1350.0,5,12.0,5.0,6.0,5.01860252,22.0,7.0,152.0,18.6,19.0,5.0,180.0,15.66402379,0,3567.04,6167.0
