,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
3456,2.0,14163,1,1,157,2019,3969,175,722000.0,2.0,4,1,9,10,13,21.4,115.0,138,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1505.0,1515.0,880.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,16.0,2,4083.1,6047.0
3461,8.0,69815,0,1,63,2016,1217,2096,742000.0,4.0,4,0,9,10,13,18.0,145.0,138,469.0,1497.0,4.0,4.0,8.0,69.0,37.0,10.3,1.0,1.0,4440.0,1695.0,1495.0,2600,1480.0,1465.0,1085.0,1670.523356,5  CVT,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,10.0,26.0,4.0,510.0,15.0,2,4717.3,6988.0
3462,7.0,82000,1,1,73,2018,8978,220,910000.0,5.0,1,1,8,10,13,22.1,219.7,138,420.0,1396.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,1.0,1.0,4270.0,1780.0,1665.0,2590,1478.635627,1479.284494,1240.0,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,12.79590584,13.0,5.0,400.0,15.66402379,2,2838.7,4069.0
3465,2.0,66000,1,1,184,2013,6838,909,231000.0,2.0,0,1,8,10,13,33.54,90.0,57,295.0,998.0,3.0,4.0,3.0,49.0,12.0,12.45229249,1.0,1.0,3655.0,1620.0,1675.0,2435,1478.635627,1479.284494,805.0,1340.0,5,12.0,5.0,6.0,5.01860252,5.0,7.0,152.0,18.6,19.0,5.0,402.7427254,15.66402379,2,3567.04,5569.0
3466,2.0,22091,1,1,157,2017,3962,85,557000.0,5.0,4,1,9,10,13,21.4,115.0,110,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1515.0,1525.0,870.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,15.66402379,2,4083.1,6069.0
3467,8.0,32000,0,1,18,2019,6470,1153,5775000.0,5.0,1,0,9,10,13,17.09,620.0,138,236.0,2993.0,6.0,4.0,3.0,4.0,51.37463617,12.45229249,5.0,1.0,5091.0,2158.0,1538.0,3070,1615.0,1649.0,1885.0,2410.0,8,12.0,4.0,6.0,5.01860252,5.0,2.0,174.018972,6.1,11.0,4.0,402.7427254,19.0,2,2761.4,4034.0
3468,2.0,65000,1,2,89,2012,1581,1335,231000.0,2.0,4,1,8,10,13,19.81,99.04,138,265.0,1086.0,4.0,3.0,8.0,49.0,51.37463617,12.45229249,1.0,1.0,3585.0,1595.0,1550.0,2380,1400.0,1385.0,860.0,1670.523356,5,12.0,5.0,6.0,5.01860252,22.0,7.0,174.018972,14.3,13.0,5.0,225.0,15.66402379,2,4568.05,5566.0
3469,2.0,66000,1,1,273,2016,2983,129,369000.0,2.0,4,1,9,10,13,23.84,114.0,14,355.0,1199.0,3.0,4.0,3.0,53.0,80.0,10.8,1.0,1.0,3746.0,1647.0,1535.0,2400,1400.0,1420.0,1012.0,1670.523356,5,12.0,5.0,6.0,4.9,5.0,7.0,150.0,14.3,13.0,5.0,242.0,14.0,2,3601.893989,6386.0
3470,7.0,25000,0,1,23,2019,366,2145,5250000.0,2.0,1,0,9,10,13,15.97,560.0,14,236.0,2993.0,6.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4886.0,1938.0,1762.0,2933,1644.0,1650.0,2030.0,1670.523356,8,4.0,5.0,6.0,6.4,22.0,25.0,174.018972,6.9,10.0,5.0,650.0,19.0,2,3101.893989,4094.0
3471,7.0,110000,0,1,51,2018,916,653,2675000.0,2.0,1,0,9,10,13,10.91,470.0,138,236.0,3198.0,4.0,4.0,3.0,72.0,51.37463617,12.45229249,5.0,1.0,4892.0,1860.0,1837.0,2850,1475.0,1470.0,1879.0,1670.523356,6,4.0,7.0,6.0,5.01860252,5.0,2.0,160.2,10.86,26.0,5.0,402.7427254,18.0,2,2601.893989,3047.0
